Loan_ID,Loan_Status
LP001015,0
LP001022,0
LP001031,0
LP001035,0
LP001051,0
LP001054,0
LP001055,1
LP001056,0
LP001059,1
LP001067,0
LP001078,0
LP001082,0
LP001083,0
LP001094,0
LP001096,1
LP001099,0
LP001105,0
LP001107,0
LP001108,0
LP001115,0
LP001121,0
LP001124,1
LP001128,0
LP001135,1
LP001149,0
LP001153,0
LP001163,0
LP001169,0
LP001174,0
LP001176,0
LP001177,1
LP001183,0
LP001185,0
LP001187,0
LP001190,0
LP001203,0
LP001208,0
LP001210,0
LP001211,0
LP001219,0
LP001220,0
LP001221,1
LP001226,0
LP001230,0
LP001231,1
LP001232,0
LP001237,0
LP001242,0
LP001268,0
LP001270,0
LP001284,0
LP001287,0
LP001291,0
LP001298,0
LP001312,0
LP001313,0
LP001317,0
LP001321,0
LP001323,0
LP001324,0
LP001332,0
LP001335,0
LP001338,1
LP001347,1
LP001348,0
LP001351,0
LP001352,0
LP001358,0
LP001359,0
LP001361,0
LP001366,1
LP001368,0
LP001375,0
LP001380,0
LP001386,0
LP001400,0
LP001407,0
LP001413,0
LP001415,0
LP001419,1
LP001420,0
LP001428,0
LP001445,0
LP001446,1
LP001450,0
LP001452,0
LP001455,0
LP001466,0
LP001471,0
LP001472,1
LP001475,0
LP001483,1
LP001486,0
LP001490,0
LP001496,0
LP001499,1
LP001500,0
LP001501,0
LP001517,0
LP001527,0
LP001534,1
LP001542,0
LP001547,0
LP001548,0
LP001558,0
LP001561,1
LP001563,0
LP001567,0
LP001568,0
LP001573,0
LP001584,1
LP001587,0
LP001589,1
LP001591,1
LP001599,1
LP001601,0
LP001607,1
LP001611,0
LP001613,0
LP001622,0
LP001627,0
LP001650,1
LP001651,0
LP001652,1
LP001655,0
LP001660,0
LP001662,0
LP001663,0
LP001667,0
LP001695,0
LP001703,0
LP001718,1
LP001728,0
LP001735,1
LP001737,0
LP001739,0
LP001742,0
LP001757,0
LP001769,0
LP001771,1
LP001785,1
LP001787,0
LP001789,0
LP001791,1
LP001794,0
LP001797,1
LP001815,0
LP001817,0
LP001818,0
LP001822,0
LP001827,0
LP001831,0
LP001842,1
LP001853,0
LP001855,0
LP001857,0
LP001862,0
LP001867,1
LP001878,0
LP001881,0
LP001886,1
LP001906,0
LP001909,0
LP001911,1
LP001921,1
LP001923,0
LP001933,0
LP001943,0
LP001950,0
LP001959,1
LP001961,1
LP001973,0
LP001975,1
LP001979,0
LP001995,0
LP001999,0
LP002007,1
LP002009,1
LP002016,0
LP002017,0
LP002018,0
LP002027,0
LP002028,0
LP002042,1
LP002045,0
LP002046,0
LP002047,0
LP002056,0
LP002057,0
LP002059,0
LP002062,1
LP002064,0
LP002069,0
LP002070,0
LP002077,1
LP002083,0
LP002090,0
LP002096,1
LP002099,0
LP002102,0
LP002105,0
LP002107,0
LP002111,0
LP002117,1
LP002118,1
LP002123,0
LP002125,0
LP002148,0
LP002152,1
LP002165,0
LP002167,1
LP002168,1
LP002172,0
LP002176,1
LP002183,0
LP002184,0
LP002186,0
LP002192,1
LP002195,0
LP002208,0
LP002212,0
LP002240,0
LP002245,1
LP002253,1
LP002256,0
LP002257,1
LP002264,0
LP002270,0
LP002279,1
LP002286,0
LP002294,0
LP002298,0
LP002306,0
LP002310,1
LP002311,1
LP002316,0
LP002321,1
LP002325,0
LP002326,0
LP002329,0
LP002333,0
LP002339,0
LP002344,0
LP002346,0
LP002354,1
LP002355,0
LP002358,0
LP002360,0
LP002375,0
LP002376,0
LP002383,0
LP002385,0
LP002389,1
LP002394,0
LP002397,1
LP002399,1
LP002400,1
LP002402,0
LP002412,1
LP002415,1
LP002417,0
LP002420,0
LP002425,1
LP002433,1
LP002440,0
LP002441,0
LP002442,0
LP002445,1
LP002450,0
LP002471,1
LP002476,1
LP002482,1
LP002485,0
LP002495,0
LP002496,1
LP002523,0
LP002542,0
LP002550,0
LP002551,0
LP002553,0
LP002554,0
LP002561,1
LP002566,1
LP002568,0
LP002570,1
LP002572,0
LP002581,0
LP002584,1
LP002592,0
LP002593,0
LP002599,0
LP002604,0
LP002605,0
LP002609,0
LP002610,0
LP002612,1
LP002614,0
LP002630,0
LP002635,1
LP002639,0
LP002644,0
LP002651,0
LP002654,1
LP002657,0
LP002711,0
LP002712,0
LP002721,0
LP002735,0
LP002744,1
LP002745,0
LP002746,0
LP002747,1
LP002754,0
LP002759,0
LP002760,1
LP002766,0
LP002769,1
LP002774,0
LP002775,0
LP002781,0
LP002782,0
LP002786,1
LP002790,0
LP002791,0
LP002793,1
LP002802,0
LP002803,0
LP002805,0
LP002806,0
LP002816,0
LP002823,1
LP002825,0
LP002826,1
LP002843,1
LP002849,0
LP002850,0
LP002853,1
LP002856,0
LP002857,0
LP002858,1
LP002860,0
LP002867,0
LP002869,0
LP002870,0
LP002876,1
LP002878,0
LP002879,0
LP002885,0
LP002890,1
LP002891,0
LP002899,0
LP002901,1
LP002907,0
LP002920,1
LP002921,0
LP002932,0
LP002935,0
LP002952,0
LP002954,0
LP002962,0
LP002965,1
LP002969,0
LP002971,0
LP002975,0
LP002980,0
LP002986,1
LP002989,0
